217,Viol - Tenor,6 strings 6 courses,Europe,G2:C3:F3:A3:D4:G4
218,Viol - Treble,6 strings 6 courses,Europe,D3:G3:C4:E4:A4:D5
219,Viola,4 strings 4 courses,Europe,C3:G3:D4:A4
220,Viola Amarantina,10 strings 5 courses,Amarante - Portugal,D3:D2:A3:A2:B3:B2:E3:E3:A3:A3
221,Viola Beiroa,12 strings 7 courses,Portugal,D3:D3:A3:A2:D3:D2:G3:G2:B3:B3:D3:D3
222,Viola Braguesa,10 strings 5 courses,Portugal,C4:C3:G4:G3:A4:A3:D4:D4:G4:G4
223,Viola caipira,10 strings 5 courses,Brazil,A3:A2:D4:D2:A3:A3:D4:D4
224,Viola Campaniça,10 strings 5 courses,Portugal,C3:C2:F3:F2:C3:C3:E3:E3:G3:G3
225,Viola Da Terra,12 strings 5 courses,Azores (Portugal),A3:A3:A2:D4:D4:D3:G3:G3:B3:B3:D4:D4
226,Viola De Arame,9 strings 5 courses,Madeira - Portugal,G3:G2:D3:D2:G3:G3:B3:D3:D3
227,Viola de cocho,5 strings 5 courses,Mato Grosso - South-western Brazil,G3:D3:E3:A3:D4
228,Viola Terceira,15 strings 6 courses,Azores (Portugal),E3:E3:E2:A3:A3:A2:D4:D4:D3:G4:G3:B3:B3:E3:E3
229,Viola Toeira,12 strings 5 courses,Portugal,A3:A3:A2:D4:D4:D3:G4:G3:B3:B3:E3:E3
230,Violao De Sete Cordas,7 strings 7 courses,Brazil,C2:E2:A2:D3:G3:B3:E4
231,Violin,4 Strings 4 courses,Lombardy,G3:D4:A4:E5
232,Violin - Tenor,4 Strings 4 courses,US,G2:D3:A3:E4
233,Waldzither - bass,9 strings 5 courses,Germany,A2:E3:E3:A3
234,Waldzither - descant,9 strings 5 courses,Germany,G3:D4:D4:G4:G4:B4:B4:D5
235,Waldzither - Heym,14 strings 6 courses,Germany,C2:C2:G3:G3:G3:C4:C4:C4:E4:E4:E4:G4:G4
236,Waldzither - piccolo,9 strings 5 courses,Germany,C4:G4:G4:C5:C5:E5:E5:G5:G5
237,Waldzither - tenor,9 strings 5 courses,Germany,C3:G3:G3:C4:C4:E4:E4:G4:G4
238,Yayli Tambur,6 strings 3 courses,Turkey,D2:D2:A2:A2:D3:D3
239,Yueqin,4 strings 4 courses,China,G3:D4:G4:D5
240,Yueqin - Taiwanese,2 strings 2 courses,Taiwan,D3:A4
241,Zheng,18 strings 18 courses,China,C2:D2:E2:G2:A2:C3:D4:E4:G4:A4:C4:D4:E4:G4:A4:C5:D5
242,Zhonghu,2 strings 2 courses,China,G3:D4:A3:E4
243,Zhongruan,4 strings 4 courses,China,G2:D3:G3:D4
244,Zither - Alpine,5 fretted strings 5 courses plus 37 open accompaniment & bass strings,Austria - Germany - elsewhere.,A4:A4:D4:G3:C3
245,Zither - Concert,5 fretted strings 5 courses plus 29 - 30 open accompaniment & bass strings,America - Germany - elsewhere.,A4:A4:D4:G3:C3
